title,year,certificate,duration,genre,rating,votes
Heartbreak High,(2022– ),TV-MA,50 min,"Drama, Romance",7.599999904632568,"1,502"
Wednesday,(2022– ),,,"Comedy, Family, Fantasy",,
Community,(2009–2015),TV-14,22 min,Comedy,8.5,"261,138"
Daredevil,(2015–2018),TV-MA,54 min,"Action, Crime, Drama",8.600000381469727,"434,141"
Blue Bloods,(2010– ),TV-14,43 min,"Crime, Drama, Mystery",7.699999809265137,"40,037"
Bee and PuppyCat,(2013– ),TV-PG,7 min,"Animation, Short, Action",8.199999809265137,"2,385"
Loving Adults,(2022),TV-MA,104 min,"Crime, Drama, Thriller",6.5,"5,861"
Schitt's Creek,(2015–2020),TV-14,22 min,Comedy,8.5,"118,638"
Sing 2,(2021),PG,110 min,"Animation, Adventure, Comedy",7.400000095367432,"65,399"
RRR,(2022),Not Rated,187 min,"Action, Drama",8.0,"107,203"
Arcane,(2021– ),TV-14,41 min,"Animation, Action, Adventure",9.0,"196,697"
The Lørenskog Disappearance,(2021),TV-MA,,"Documentary, Crime",6.099999904632568,668
The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,"Action, Adventure, Drama",8.800000190734863,"1,642,708"
All Quiet on the Western Front,(2022),R,147 min,"Action, Drama, War",8.300000190734863,199
Mr. Harrigan's Phone,(2022),PG-13,104 min,Horror,,
American Psycho,(2000),R,102 min,"Crime, Drama, Horror",7.599999904632568,"598,117"
The Hobbit: An Unexpected Journey,(2012),PG-13,169 min,"Adventure, Fantasy",7.800000190734863,"820,021"
Kleo,(2022– ),TV-MA,44 min,"Action, Crime, Drama",7.5,"5,517"
Riverdale,(2017– ),TV-14,45 min,"Crime, Drama, Mystery",6.599999904632568,"143,861"
Sons of Anarchy,(2008–2014),TV-MA,45 min,"Crime, Drama, Thriller",8.600000381469727,"294,616"
Mad Men,(2007–2015),TV-14,47 min,Drama,8.699999809265137,"237,030"
The Flash,(2014–2023),TV-PG,43 min,"Action, Adventure, Drama",7.599999904632568,"344,187"
Archer,(2009– ),TV-MA,22 min,"Animation, Action, Comedy",8.600000381469727,"153,880"
Dahmer - Monster: The Jeffrey Dahmer Story,(2022),TV-MA,534 min,"Biography, Crime, Drama",8.5,"5,580"
Mr. Robot,(2015–2019),TV-MA,49 min,"Crime, Drama, Thriller",8.600000381469727,"383,470"
That '70s Show,(1998–2006),TV-14,22 min,"Comedy, Drama, Romance",8.100000381469727,"169,768"
You,(2018– ),TV-MA,45 min,"Crime, Drama, Romance",7.699999809265137,"234,218"
Look Both Ways,(2022),TV-14,110 min,"Comedy, Drama, Romance",6.300000190734863,"14,313"
365 Days,(2020),TV-MA,114 min,"Drama, Romance",3.299999952316284,"89,071"
I Used to Be Famous,(2022),TV-14,104 min,"Comedy, Drama, Music",6.599999904632568,"2,633"
Titanic,(1997),PG-13,194 min,"Drama, Romance",7.900000095367432,"1,158,746"
Bridgerton,(2020– ),TV-MA,60 min,"Drama, History, Romance",7.300000190734863,"133,119"
Sherlock,(2010–2017),TV-14,88 min,"Crime, Drama, Mystery",9.100000381469727,"913,816"
Dexter,(2006–2013),TV-MA,53 min,"Crime, Drama, Mystery",8.699999809265137,"720,792"
New Girl,(2011–2018),TV-14,22 min,"Comedy, Romance",7.699999809265137,"221,781"
The Expanse,(2015–2022),TV-14,60 min,"Drama, Mystery, Sci-Fi",8.5,"151,611"
Purple Hearts,(2022),TV-14,122 min,"Drama, Music, Romance",6.699999809265137,"32,797"
